F_Code,Text
F11,"Psychische und Verhaltensstörungen durch Opioide Benutze im Geltungsbereich des § 17d KHG (eine) zusätzliche Schlüsselnummer(n) aus U69.3-!, um einen intravenösen (U69.30!) oder nichtintravenösen (U69.31!) Heroinkonsum oder einen intravenösen Konsum sonstiger Opioide (U69.32!) anzugeben."
F12,"Psychische und Verhaltensstörungen durch Cannabinoide Benutze im Geltungsbereich des § 17d KHG eine zusätzliche Schlüsselnummer (U69.32!), um einen intravenösen Konsum anzugeben."
F13,"Psychische und Verhaltensstörungen durch Sedativa oder Hypnotika Benutze im Geltungsbereich des § 17d KHG eine zusätzliche Schlüsselnummer (U69.32!), um einen intravenösen Konsum anzugeben."
F14,"Psychische und Verhaltensstörungen durch Kokain Benutze im Geltungsbereich des § 17d KHG eine zusätzliche Schlüsselnummer (U69.32!), um einen intravenösen Konsum anzugeben."
F15,"Psychische und Verhaltensstörungen durch andere Stimulanzien, einschließlich Koffein Benutze im Geltungsbereich des § 17d KHG (eine) zusätzliche Schlüsselnummer(n) aus U69.3-!, um einen intravenösen (U69.33!) oder nichtintravenösen (U69.34!) Konsum (Meth-)Amphetamin-haltiger Stoffe oder einen intravenösen (U69.35!) oder nichtintravenösen (U69.36!) Konsum sonstiger Stimulanzien außer Koffein anzugeben."
F16,"Psychische und Verhaltensstörungen durch Halluzinogene Benutze im Geltungsbereich des § 17d KHG eine zusätzliche Schlüsselnummer (U69.32!), um einen intravenösen Konsum anzugeben."
F17,Psychische und Verhaltensstörungen durch Tabak
F18,Psychische und Verhaltensstörungen durch flüchtige Lösungsmittel
F19,"Psychische und Verhaltensstörungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen Diese Kategorie ist beim Konsum von zwei oder mehr psychotropen Substanzen zu verwenden, wenn nicht entschieden werden kann, welche Substanz die Störung ausgelöst hat. Diese Kategorie ist außerdem zu verwenden, wenn eine oder mehrere der konsumierten Substanzen nicht sicher zu identifizieren oder unbekannt sind, da viele Konsumenten oft selbst nicht genau wissen, was sie einnehmen. Missbrauch von Substanzen o.n.A. Benutze im Geltungsbereich des § 17d KHG (eine) zusätzliche Schlüsselnummer(n) aus U69.3-!, um einen intravenösen (U69.30!) oder nichtintravenösen (U69.31!) Heroinkonsum oder einen intravenösen Konsum sonstiger psychotroper Substanzen (U69.32!) oder einen intravenösen (U69.33!) oder nichtintravenösen (U69.34!) Konsum (Meth-)Amphetamin-haltiger Stoffe oder einen intravenösen (U69.35!) oder nichtintravenösen (U69.36!) Konsum sonstiger Stimulanzien außer Koffein anzugeben."
F20,"Schizophrenie Die schizophrenen Störungen sind im Allgemeinen durch grundlegende und charakteristische Störungen von Denken und Wahrnehmung sowie inadäquate oder verflachte Affekte gekennzeichnet. Die Bewusstseinsklarheit und intellektuellen Fähigkeiten sind in der Regel nicht beeinträchtigt, obwohl sich im Laufe der Zeit gewisse kognitive Defizite entwickeln können. Die wichtigsten psychopathologischen Phänomene sind Gedankenlautwerden, Gedankeneingebung oder Gedankenentzug, Gedankenausbreitung, Wahnwahrnehmung, Kontrollwahn, Beeinflussungswahn oder das Gefühl des Gemachten, Stimmen, die in der dritten Person den Patienten kommentieren oder über ihn sprechen, Denkstörungen und Negativsymptome. Der Verlauf der schizophrenen Störungen kann entweder kontinuierlich episodisch mit zunehmenden oder stabilen Defiziten sein, oder es können eine oder mehrere Episoden mit vollständiger oder unvollständiger Remission auftreten. Die Diagnose Schizophrenie soll bei ausgeprägten depressiven oder manischen Symptomen nicht gestellt werden, es sei denn, schizophrene Symptome wären der affektiven Störung vorausgegangen. Ebenso wenig ist eine Schizophrenie bei eindeutiger Gehirnerkrankung, während einer Intoxikation oder während eines Entzugssyndroms zu diagnostizieren. Ähnliche Störungen bei Epilepsie oder anderen Hirnerkrankungen sollen unter F06.2 kodiert werden, die durch psychotrope Substanzen bedingten psychotischen Störungen unter F10-F19, vierte Stelle .5. Paranoide Schizophrenie Die paranoide Schizophrenie ist durch beständige, häufig paranoide Wahnvorstellungen gekennzeichnet, meist begleitet von akustischen Halluzinationen und Wahrnehmungsstörungen. Störungen der Stimmung, des Antriebs und der Sprache, katatone Symptome fehlen entweder oder sind wenig auffallend. Paraphrene Schizophrenie Hebephrene Schizophrenie Eine Form der Schizophrenie, bei der die affektiven Veränderungen im Vordergrund stehen, Wahnvorstellungen und Halluzinationen flüchtig und bruchstückhaft auftreten, das Verhalten verantwortungslos und unvorhersehbar ist und Manierismen häufig sind. Die Stimmung ist flach und unangemessen. Das Denken ist desorganisiert, die Sprache zerfahren. Der Kranke neigt dazu, sich sozial zu isolieren. Wegen der schnellen Entwicklung der Minussymptomatik, besonders von Affektverflachung und Antriebsverlust, ist die Prognose zumeist schlecht. Eine Hebephrenie soll in aller Regel nur bei Jugendlichen oder jungen Erwachsenen diagnostiziert werden. Desintegrative Schizophrenie Hebephrenie Katatone Schizophrenie Die katatone Schizophrenie ist gekennzeichnet von den im Vordergrund stehenden psychomotorischen Störungen, die zwischen Extremen wie Erregung und Stupor sowie Befehlsautomatismus und Negativismus alternieren können. Zwangshaltungen und -stellungen können lange Zeit beibehalten werden. Episodenhafte schwere Erregungszustände können ein Charakteristikum dieses Krankheitsbildes sein. Die katatonen Phänomene können mit einem traumähnlichen (oneiroiden) Zustand mit lebhaften szenischen Halluzinationen verbunden sein. Katatoner Stupor Schizophren: Flexibilitas cerea Schizophren: Katalepsie Schizophren: Katatonie Undifferenzierte Schizophrenie Diese Kategorie soll für psychotische Zustandsbilder verwendet werden, welche die allgemeinen diagnostischen Kriterien der Schizophrenie (F20) erfüllen, ohne einer der Unterformen von F20.0-F20.2 zu entsprechen, oder die Merkmale von mehr als einer aufweisen, ohne dass bestimmte diagnostische Charakteristika eindeutig überwiegen. Atypische Schizophrenie Postschizophrene Depression Eine unter Umständen länger anhaltende depressive Episode, die im Anschluss an eine schizophrene Krankheit auftritt. Einige ""positive"" oder ""negative"" schizophrene Symptome müssen noch vorhanden sein, beherrschen aber das klinische Bild nicht mehr. Diese depressiven Zustände sind mit einem erhöhten Suizidrisiko verbunden. Wenn der Patient keine schizophrenen Symptome mehr aufweist, sollte eine depressive Episode diagnostiziert werden (F32.-). Wenn floride schizophrene Symptome noch im Vordergrund stehen, sollte die entsprechende schizophrene Unterform (F20.0-F20.3) diagnostiziert werden. Schizophrenes Residuum Ein chronisches Stadium in der Entwicklung einer schizophrenen Krankheit, bei welchem eine eindeutige Verschlechterung von einem frühen zu einem späteren Stadium vorliegt und das durch langandauernde, jedoch nicht unbedingt irreversible ""negative"" Symptome charakterisiert ist. Hierzu gehören psychomotorische Verlangsamung, verminderte Aktivität, Affektverflachung, Passivität und Initiativemangel, qualitative und quantitative Sprachverarmung, geringe nonverbale Kommunikation durch Gesichtsausdruck, Blickkontakt, Modulation der Stimme und Körperhaltung, Vernachlässigung der Körperpflege und nachlassende soziale Leistungsfähigkeit. Chronische undifferenzierte Schizophrenie Restzustand Schizophrener Residualzustand Schizophrenia simplex Eine Störung mit schleichender Progredienz von merkwürdigem Verhalten, mit einer Einschränkung, gesellschaftliche Anforderungen zu erfüllen und mit Verschlechterung der allgemeinen Leistungsfähigkeit. Die charakteristische Negativsymptomatik des schizophrenen Residuums (Affektverflachung und Antriebsminderung) entwickelt sich ohne vorhergehende produktive psychotische Symptome. Sonstige Schizophrenie Schizophreniform: Psychose o.n.A. Schizophreniform: Störung o.n.A. Zönästhetische (zönästhopathische) Schizophrenie Schizophrenie, nicht näher bezeichnet"
F21,"Schizotype Störung Eine Störung mit exzentrischem Verhalten und Anomalien des Denkens und der Stimmung, die schizophren wirken, obwohl nie eindeutige und charakteristische schizophrene Symptome aufgetreten sind. Es kommen vor: ein kalter Affekt, Anhedonie und seltsames und exzentrisches Verhalten, Tendenz zu sozialem Rückzug, paranoische oder bizarre Ideen, die aber nicht bis zu eigentlichen Wahnvorstellungen gehen, zwanghaftes Grübeln, Denk- und Wahrnehmungsstörungen, gelegentlich vorübergehende, quasipsychotische Episoden mit intensiven Illusionen, akustischen oder anderen Halluzinationen und wahnähnlichen Ideen, meist ohne äußere Veranlassung. Es lässt sich kein klarer Beginn feststellen; Entwicklung und Verlauf entsprechen gewöhnlich einer Persönlichkeitsstörung. Latente schizophrene Reaktion Schizophrenie: Borderline Schizophrenie: latent Schizophrenie: präpsychotisch Schizophrenie: prodromal Schizophrenie: pseudoneurotisch Schizophrenie: pseudopsychopathisch Schizotype Persönlichkeitsstörung"
F22,"Anhaltende wahnhafte Störungen Diese Gruppe enthält eine Reihe von Störungen, bei denen ein langandauernder Wahn das einzige oder das am meisten ins Auge fallende klinische Charakteristikum darstellt, und die nicht als organisch, schizophren oder affektiv klassifiziert werden können. Wahnhafte Störungen, die nur wenige Monate angedauert haben, sollten wenigstens vorläufig unter F23.- kodiert werden. Wahnhafte Störung Eine Störung charakterisiert durch die Entwicklung eines einzelnen Wahns oder mehrerer aufeinander bezogener Wahninhalte, die im Allgemeinen lange, manchmal lebenslang, andauern. Der Inhalt des Wahns oder des Wahnsystems ist sehr unterschiedlich. Eindeutige und anhaltende akustische Halluzinationen (Stimmen), schizophrene Symptome wie Kontrollwahn oder Affektverflachung und eine eindeutige Gehirnerkrankung sind nicht mit der Diagnose vereinbar. Gelegentliche oder vorübergehende akustische Halluzinationen schließen besonders bei älteren Patienten die Diagnose jedoch nicht aus, solange diese Symptome nicht typisch schizophren erscheinen und nur einen kleinen Teil des klinischen Bildes ausmachen. Paranoia Paranoid: Psychose Paranoid: Zustand Sensitiver Beziehungswahn Späte Paraphrenie Sonstige anhaltende wahnhafte Störungen Hierbei handelt es sich um Störungen, bei denen ein Wahn oder Wahnsysteme von anhaltenden Stimmen oder von schizophrenen Symptomen begleitet werden, die aber nicht die Diagnose Schizophrenie (F20.-) erfüllen. Paranoides Zustandsbild im Involutionsalter Querulantenwahn (Paranoia querulans) Wahnhafte Dysmorphophobie Anhaltende wahnhafte Störung, nicht näher bezeichnet"
F23,"Akute vorübergehende psychotische Störungen Eine heterogene Gruppe von Störungen, die durch den akuten Beginn der psychotischen Symptome, wie Wahnvorstellungen, Halluzinationen und andere Wahrnehmungsstörungen, und durch eine schwere Störung des normalen Verhaltens charakterisiert sind. Der akute Beginn wird als Crescendo-Entwicklung eines eindeutig abnormen klinischen Bildes innerhalb von 2 Wochen oder weniger definiert. Bei diesen Störungen gibt es keine Hinweise für eine organische Verursachung. Ratlosigkeit und Verwirrtheit kommen häufig vor, die zeitliche, örtliche und personale Desorientiertheit ist jedoch nicht andauernd oder schwer genug, um die Kriterien für ein organisch verursachtes Delir (F05.-) zu erfüllen. Eine vollständige Besserung erfolgt in der Regel innerhalb weniger Monate, oft bereits nach wenigen Wochen oder nur Tagen. Wenn die Störung weiter besteht, wird eine Änderung der Kodierung notwendig. Die Störung kann im Zusammenhang mit einer akuten Belastung stehen, definiert als belastendes Ereignis ein oder zwei Wochen vor Beginn der Störung. Akute polymorphe psychotische Störung ohne Symptome einer Schizophrenie Eine akute psychotische Störung, bei der Halluzinationen, Wahnphänomene und Wahrnehmungsstörungen vorhanden, aber sehr unterschiedlich ausgeprägt sind und von Tag zu Tag oder sogar von Stunde zu Stunde zu wechseln. Häufig findet sich auch emotionales Aufgewühltsein mit intensiven vorübergehenden Glücksgefühlen und Ekstase oder Angst und Reizbarkeit. Die Vielgestaltigkeit und Unbeständigkeit sind für das gesamte klinische Bild charakteristisch; die psychotischen Merkmale erfüllen nicht die Kriterien für Schizophrenie (F20.-). Diese Störungen beginnen abrupt, entwickeln sich rasch innerhalb weniger Tage und zeigen häufig eine schnelle und anhaltende Rückbildung der Symptome ohne Rückfall. Wenn die Symptome andauern, sollte die Diagnose in anhaltende wahnhafte Störung (F22.-) geändert werden. Bouffée délirante ohne Symptome einer Schizophrenie oder nicht näher bezeichnet Zykloide Psychose ohne Symptome einer Schizophrenie oder nicht näher bezeichnet Akute polymorphe psychotische Störung mit Symptomen einer Schizophrenie Eine akute psychotische Störung mit vielgestaltigem und unbeständigem klinischem Bild, wie unter F23.0 beschrieben; trotz dieser Unbeständigkeit aber sind in der überwiegenden Zeit auch einige für die Schizophrenie typische Symptome vorhanden. Wenn die schizophrenen Symptome andauern, ist die Diagnose in Schizophrenie (F20.-) zu ändern. Bouffée délirante mit Symptomen einer Schizophrenie Zykloide Psychose mit Symptomen einer Schizophrenie Akute schizophreniforme psychotische Störung Eine akute psychotische Störung, bei der die psychotischen Symptome vergleichsweise stabil sind und die Kriterien für Schizophrenie (F20.-) erfüllen, aber weniger als einen Monat bestanden haben. Die polymorphen, unbeständigen Merkmale, die unter F23.0 beschrieben wurden, fehlen. Wenn die schizophrenen Symptome andauern, ist die Diagnose in Schizophrenie (F20.-) zu ändern. Akute (undifferenzierte) Schizophrenie Kurze schizophreniforme: Psychose Kurze schizophreniforme: Störung Oneirophrenie Schizophrene Reaktion Sonstige akute vorwiegend wahnhafte psychotische Störungen Es handelt sich um eine akute psychotische Störung, bei der verhältnismäßig stabile Wahnphänomene oder Halluzinationen die hauptsächlichen klinischen Merkmale darstellen, aber nicht die Kriterien für eine Schizophrenie erfüllen (F20.-). Wenn die Wahnphänomene andauern, ist die Diagnose in anhaltende wahnhafte Störung (F22.-) zu ändern. Paranoide Reaktion Psychogene paranoide Psychose Sonstige akute vorübergehende psychotische Störungen Hier sollen alle anderen nicht näher bezeichneten akuten psychotischen Störungen, ohne Anhalt für eine organische Ursache, klassifiziert werden und die nicht die Kriterien für F23.0-F23.3 erfüllen. Akute vorübergehende psychotische Störung, nicht näher bezeichnet Kurze reaktive Psychose o.n.A. Reaktive Psychose"
F24,"Induzierte wahnhafte Störung Es handelt sich um eine wahnhafte Störung, die von zwei Personen mit einer engen emotionalen Bindung geteilt wird. Nur eine von beiden leidet unter einer echten psychotischen Störung; die Wahnvorstellungen bei der anderen Person sind induziert und werden bei der Trennung des Paares meist aufgegeben. Folie à deux Induziert: paranoide Störung Induziert: psychotische Störung"
